StructName,ID,1,2,3,4,5,6
lateralorbitofrontal,1,5.65380760376549e-16,2.3988713042104e-6,6.64985034361725e-5,0.71896616226183,0.941200727372457,0.999999999988358
parsorbitalis,2,5.12646491171116e-17,1.39373355943338e-7,2.35906006557671e-6,6.34757820518292e-5,0.536589560584961,0.999999998833324
frontalpole,3,9.91263591789063e-17,5.29783523717864e-7,9.52083368054571e-6,0.00440072627353928,0.999999995429034,0.999999999953932
medialorbitofrontal,4,4.31631387724496e-16,4.05206277636775e-6,0.000407992599559972,0.546760995748194,0.727530807063887,0.999999999987694
parstriangularis,5,1.85019726816107e-16,1.18259439827242e-6,3.78219353338715e-5,0.25017072881806,0.875566458851383,0.999999999769861
parsopercularis,6,2.39331478347576e-15,1.12018124564898e-5,0.123639296857296,0.668076348805965,0.999999999552683,0.999999999972286
rostralmiddlefrontal,7,4.16955865837798e-17,2.59054013201743e-7,4.51287112375462e-6,0.000385010219324791,0.705955368921296,0.926973674574128
superiorfrontal,8,4.9891597378272e-18,5.40543389780401e-8,9.06091241432615e-7,2.1000011898392e-5,0.267606877039339,0.619401557107076
caudalmiddlefrontal,9,1.23455503478165e-15,7.69425564513494e-6,0.0910885550699761,0.636600567353073,0.996310015439172,0.999999999974059
precentral,10,1.58230287625967e-16,5.57804050078072e-7,1.17236159695335e-5,0.1699829691933,0.645224731088022,0.945168794975482
paracentral,11,2.05410769061689e-16,6.52974805344849e-7,1.61990360212783e-5,0.166683038306763,0.409913842875146,0.666772161129559
rostralanteriorcingulate,12,1.05648343917664e-14,0.0362036357215769,0.999999968609491,0.99999998258354,0.999999997446939,0.999999999765848
caudalanteriorcingulate,13,2.81315223863484e-15,0.000275904892294347,0.999999987403232,0.999999990889893,0.99999999838174,0.999999999805291
posteriorcingulate,14,6.43450306649025e-15,4.29747502426356e-5,0.888929909873205,0.99999999706169,0.999999999475446,0.999999999962606
isthmuscingulate,15,6.75460244862242e-13,0.66681200368464,0.999999996051511,0.999999999043064,0.999999999907287,0.999999999998292
postcentral,16,1.4426436783212e-16,2.74043931523692e-7,4.77244898723138e-6,0.037580344737354,0.500068322106912,0.721556456519687
supramarginal,17,4.72242093750332e-15,6.10772176757582e-6,0.050062641459604,0.452181989040457,0.855110309518091,0.950395866260076
superiorparietal,18,2.4755556680658e-14,2.43414486501372e-7,4.4835245858636e-6,0.0695834206086653,0.379948658290327,0.827578267086524
inferiorparietal,19,3.20288770348521e-12,3.49853361217986e-6,0.0769662706268323,0.315095593376565,0.846534578516535,0.999999999996089
precuneus,20,2.80405933842131e-14,0.000322556969825583,0.219031193389809,0.478316289665853,0.782089199882155,0.999999999457938
cuneus,21,3.04514700666886e-17,2.55738925487716e-8,4.09639244603857e-7,9.73716690123488e-6,0.125003459664159,0.126501060771552
pericalcarine,22,4.97172512303813e-16,4.25580767262193e-7,7.97239113728847e-6,0.125370323548796,0.625401012797701,0.750152859054711
lateraloccipital,23,8.64483671329476e-13,5.92404662195788e-7,3.36793291113359e-5,0.129847871027438,0.262384902944785,0.739285693089787
lingual,24,4.48603857992285e-12,6.59979919044051e-6,0.128412575785131,0.294189643180656,0.470673270102677,0.763005486398394
fusiform,25,1.13426673317977e-9,0.17803975724717,0.297743215981116,0.647180129167689,0.999999999552772,0.999999999974189
parahippocampal,26,1.0142012818058e-7,0.989790263086891,0.9999999978477,0.999999999753873,0.999999999982064,0.999999999999728
entorhinal,27,0.999999266186339,0.999999993532087,0.99999999982267,0.999999999995006,1.0,1.0
temporalpole,28,2.61223219444311e-8,0.999999997866641,0.999999999813717,0.999999999998324,1.0,1.0
inferiortemporal,29,1.61700393531728e-9,0.125391687475391,0.46938515806698,0.750921689170888,0.999999999989725,0.99999999999991
middletemporal,30,2.88875543101851e-10,0.000135971875543152,0.421073793800096,0.684282192309545,0.947405671881171,0.999999999999786
bankssts,31,4.8809935390269e-10,0.500078765461676,0.999999974692885,0.999999992882528,0.999999998727566,0.999999999999193
superiortemporal,32,2.11747775263829e-10,0.000125862234421018,0.360091547437906,0.52028005436088,0.64137354179972,0.80000949765479
transversetemporal,33,1.73271043010195e-10,0.666606197119173,0.994687755400671,0.999999982990112,0.999999995565595,0.999999999245377
insula,34,1.68537629783923e-9,0.17914240080868,0.500099743136399,0.999999999199145,0.999999999960747,0.999999999998337
